Cidade,Ocorrências
Osvaldo Cruz,73
Adamantina,72
Parapuã,50
Salmourão,11
Tupã,10
Inúbia Paulista,7
Marília,7
São Paulo,6
Lucélia,6
Pacaembu,6
Lucéliasp,5
Rinópolis,5
Pompéia,5
Flórida Paulista,4
Tupãsp,3
Salmourãosp,3
Presidente Prudente,3
Lins,3
Salmouro,2
Tupi Paulista,2
Rio De Janeiro,2
Iacrisp,2
Lucéliasão Paulo,2
Flórida Paulista São Paulo,1
Niteróirj,1
Volta Redonda,1
Ocala,1
Guarulhossp,1
Iacri,1
Paulista,1
Brasíliadf,1
Osvaldo,1
Campo Mourão,1
Pracinhasp,1
Gabriel Monteiro,1
Maringá Paraná,1
Viúva,1
Jundiaí,1
São Paulosp,1
Ouro Verde,1
Mariápolis,1
Arco Irissp,1
Qual A Sua Cidade E Estado,1
Sete Lagoas,1
Palmasto,1
São Gonçalo,1
Solteiro,1
Mirante Do Paranapanema,1
Ourinhos,1
Natal,1
Sapucaia do Sul,1
Carapicuíbasp,1
Quintana,1
Presidente Venceslau São Paulo,1
Flórida Paulistasp,1
Campinas,1
Inúbia Paulista São Paulo,1
Bastos,1
Herculndia,1
Pacaembú,1
Araçatubasp,1
Campos Novos Paulista,1
Inúbia Paulistasp,1
Ribeirão Preto São Paulo,1
Salmourão São Paulo,1
Nova Alvorada Do Sul,1
Araçatuba,1
